Activity Name,Activity Type,Start,Tagging,Time,Distance,Avg Speed(Avg Pace),Elevation Gain,Max Speed(Best Pace),Avg HR,Max HR,V02 Max,Training Effect
Lees Summit Running,Running,"Sat, Mar 26, 2016 5:16 AM",running_2016-03-26,1:39:51,9.52,10:29,480,7:39,154,172,45,4.6
Lees Summit Running,Running,"Sat, Mar 19, 2016 5:14 AM",running_2016-03-19,1:58:31,11.4,10:24,499,5:09,153,172,44,4.2
Lees Summit Running,Running,"Wed, Mar 16, 2016 9:50 PM",running_2016-03-16,1:09:00,7.11,9:42,294,4:04,160,174,44,5
Lees Summit Running,Running,"Sat, Mar 12, 2016 9:52 PM",running_2016-03-12,1:42:08,10.06,10:09,349,1:54,169,180,43,5
Lees Summit Running,Running,"Sat, Mar 5, 2016 4:53 AM",running_2016-03-05,2:03:53,11.44,10:50,562,6:15,157,181,41,4.4
Lees Summit Running,Running,"Sat, Feb 20, 2016 5:17 AM",running_2016-02-20,2:07:47,11.5,11:07,555,5:39,163,178,40,5
Lees Summit Running,Running,"Mon, Feb 15, 2016 7:15 AM",running_2016-02-15,16:22,1.75,9:21,31,4:59,164,172,40,3.4
Lees Summit Running,Running,"Sat, Feb 13, 2016 4:05 PM",running_2016-02-13_02,22:01,1.64,13:25,58,9:04,154,167,40,3.1
Lees Summit Running,Running,"Sat, Feb 13, 2016 2:10 PM",running_2016-02-13_01,1:47:00,9.42,11:22,388,5:51,163,177,40,5
Lees Summit Running,Running,"Sat, Feb 6, 2016 2:46 PM",running_2016-02-06,1:21:39,7.57,10:47,292,6:01,177,187,39,5
Lees Summit Running,Running,"Sat, Jan 30, 2016 1:52 PM",running_2016-01-30,1:13:33,6.5,11:19,222,7:34,174,188,38,5
Lees Summit Running,Running,"Thu, Jan 14, 2016 9:44 PM",running_2016-01-14,39:31:00,3.56,11:06,65,7:49,163,181,39,5
Lees Summit Running,Running,"Mon, Dec 7, 2015 9:01 PM",,44:58:00,4,11:14,113,7:25,170,184,39,5
Lees Summit Running,Running,"Fri, Sep 18, 2015 6:27 AM",,36:33:00,3.16,11:34,68,6:51,160,176,39,4.9
Running With The Cows 2015,Running,"Sat, May 9, 2015 7:32 AM",running_2015-05-09,2:08:01,13.17,9:43,758,4:21,177,185,43,5
Garmin Half Marathon 2015,Running,"Sat, Apr 18, 2015 6:48 AM",running_2015-04-18,2:05:40,12.99,9:41,"1,411",7:18,177,186,44,5
Rock the Parkway 2015,Running,"Sat, Apr 11, 2015 7:35 AM",running_2015-04-11,2:00:26,13.13,9:11,"1,014",6:05,174,185,44,5
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
