Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Trail Running,2020-03-03 11:36:30,false,"Jackson County Running","6.03","875","01:01:30","157","178","4.2","160","190","10:12","6:54","509","486","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0:00","68.0","0:00","No","10:43.45","4","0.0"
Cardio,2020-03-03 07:58:18,false,"Max30 2.02","0.00","185","00:32:18","97","139","0.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","73.4","0:00","No","00:00.00","1","0.0"
Running,2020-03-02 12:59:24,false,"Lee's Summit Running","7.56","857","00:57:08","161","171","4.4","167","179","7:33","6:12","387","364","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0:00","60.8","0:00","No","00:00.00","1","0.0"
Cardio,2020-03-02 08:08:08,false,"Max30 2.01","0.00","313","00:32:25","124","158","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Running,2020-02-29 07:31:10,false,"Lee's Summit Running","20.02","2,036","02:59:44","145","172","3.3","163","179","8:59","7:23","1,686","1,667","1.10","0.0","0.0","0.0","0.0","0.0","0:00","0:00","53.6","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-27 12:34:03,false,"Max30 1.05","0.00","170","00:30:02","96","140","0.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Running,2020-02-24 14:39:37,false,"Lee's Summit Running","4.09","448","00:33:34","147","164","3.1","162","212","8:12","6:09","220","230","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0:00","55.4","0:00","No","00:00.00","1","0.0"
Trail Running,2020-02-22 08:00:21,true,"Psycho Wyco Run Toto Run","19.30","2,912","03:50:05","161","185","4.9","140","247","11:56","5:34","3,432","3,356","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0:00","55.4","0:00","No","01:49:21.11","2","0.0"
Running,2020-02-21 11:28:01,false,"Lee's Summit Running","5.25","614","00:42:45","159","179","3.6","161","185","8:09","6:29","259","246","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Running,2020-02-20 12:01:09,false,"Lee's Summit Running","5.13","624","00:42:41","160","176","4.0","162","176","8:19","6:28","269","246","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0:00","68.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-19 12:24:59,false,"Lee's Summit Running","12.45","1,546","01:46:37","164","184","5.0","164","236","8:34","6:38","1,155","1,109","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:00.00","1","0.0"
Running,2020-02-17 13:28:07,false,"Lee's Summit Running","7.60","873","00:58:15","165","181","5.0","162","177","7:40","5:54","367","348","1.29","0.0","0.0","0.0","0.0","0.0","0:00","0:00","68.0","0:00","No","00:00.00","1","0.0"
Running,2020-02-12 06:20:19,false,"Reno Running","5.40","648","00:44:45","160","181","4.0","165","178","8:17","7:20","36","59","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0:00","44.6","0:00","No","00:00.00","1","0.0"
Running,2020-02-11 16:27:19,false,"Reno Running","8.55","1,005","01:20:39","150","173","3.7","141","180","9:26","7:03","151","167","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0:00","69.8","0:00","No","00:00.00","1","0.0"
Trail Running,2020-02-08 06:23:59,false,"Jackson County Running","17.68","2,297","03:52:18","145","170","3.4","136","237","13:09","7:20","1,972","2,024","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0:00","69.8","0:00","No","55:28.24","3","0.0"
Running,2020-02-05 13:12:15,false,"Lee's Summit Running","7.06","882","01:01:43","160","175","4.3","162","174","8:45","7:18","351","315","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-05 08:13:37,false,"Max30 1.04","0.00","113","00:30:04","82","126","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","75.2","0:00","No","00:00.00","1","0.0"
Trail Running,2020-02-04 13:46:51,false,"Lee's Summit Running","7.03","877","00:59:37","162","178","4.8","161","185","8:28","6:37","112","135","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0:00","59.0","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-04 08:08:41,false,"Max30 1.03","0.00","327","00:32:08","130","163","2.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","69.8","0:00","No","00:00.00","1","0.0"
Cardio,2020-02-03 13:17:01,false,"Max30 1.02","0.00","242","00:32:17","113","163","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","75.2","0:00","No","00:00.00","1","0.0"
Running,2020-02-03 06:08:12,false,"Lee's Summit Running","7.11","819","01:00:55","155","168","3.9","164","175","8:34","6:54","364","364","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Skating,2020-02-01 15:12:56,false,"Lee's Summit Ice Skating","1.93","370","01:15:56","93","136","0.6","2","151","1.5","7.4","46","23","33.62","0.0","0.0","0.0","0.0","0.0","0:00","0:00","77.0","0:00","No","18:38.18","2","0.0"
Running,2020-02-01 11:49:30,false,"Lee's Summit Running","12.52","1,380","02:03:19","149","172","3.4","155","244","9:51","7:03","1,198","1,142","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:00.00","1","0.0"
Running,2020-01-31 15:25:50,false,"Lee's Summit Running","7.19","872","01:03:31","159","184","4.2","161","178","8:50","7:14","364","384","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:00.00","1","0.0"
Running,2020-01-27 14:07:22,false,"Lee's Summit Running","6.04","673","00:49:55","158","179","4.0","163","215","8:16","6:36","246","249","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-25 11:02:56,false,"Jackson County Running","12.38","1,734","02:35:32","152","175","3.5","127","237","12:34","7:41","1,293","1,240","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0:00","64.4","0:00","No","16:02.83","3","0.0"
Trail Running,2020-01-24 13:09:43,false,"Lee's Summit Running","6.11","789","01:00:15","156","175","4.1","145","237","9:51","7:04","282","302","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Running,2020-01-23 11:17:57,false,"Lee's Summit Running","5.10","589","00:42:54","162","180","4.2","159","236","8:25","6:39","266","240","1.20","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:22.97","15","0.0"
Running,2020-01-22 12:26:35,false,"Lee's Summit Running","5.13","601","00:45:36","157","179","4.0","158","181","8:53","6:40","253","233","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0:00","62.6","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-21 13:57:43,false,"Jackson County Running","4.54","685","00:56:51","152","169","3.3","140","233","12:32","8:41","430","404","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0:00","57.2","0:00","No","00:00.00","1","0.0"
Cardio,2020-01-20 15:08:48,false,"Max30 1.01","0.00","251","00:30:00","123","163","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","05:58.75","2","0.0"
Trail Running,2020-01-20 07:11:56,false,"Jackson County Running","10.09","1,368","01:51:44","157","189","4.2","145","198","11:04","7:07","1,145","1,155","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","51.8","0:00","No","21:20.71","2","0.0"
Walking,2020-01-18 14:18:57,false,"Lee's Summit Walking","0.44","60","00:12:00","103","123","0.2","74","130","27:32","14:22","49","52","0.79","0.0","0.0","0.0","0.0","0.0","0:00","0:00","64.4","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-18 10:19:29,false,"Unity Village Running","8.18","1,020","01:25:08","151","186","4.1","143","244","10:25","5:40","676","705","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","57.2","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-18 08:56:11,false,"Jackson County Running","4.74","716","01:06:32","146","169","3.0","116","236","14:03","7:55","594","640","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0:00","60.8","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-17 13:31:09,false,"Lee's Summit Running","6.50","1,067","01:18:31","162","193","5.0","130","231","12:05","7:18","512","476","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0:00","57.2","0:00","No","00:00.00","1","0.0"
Running,2020-01-14 13:14:08,false,"Lee's Summit Running","1.59","152","00:12:03","147","168","2.4","166","178","7:35","6:28","62","56","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0:00","60.8","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-11 09:57:01,false,"Jackson County Running","11.02","1,522","02:21:40","150","179","3.6","132","242","12:51","7:17","1,188","1,165","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0:00","59.0","0:00","No","09:25.88","3","0.0"
Running,2020-01-10 08:46:56,false,"Lee's Summit Running","2.96","324","00:24:48","150","169","3.2","161","185","8:23","6:48","118","138","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0:00","57.2","0:00","No","00:00.00","1","0.0"
Running,2020-01-09 14:19:57,false,"Lee's Summit Running","4.10","483","00:34:46","163","181","4.3","153","223","8:29","5:54","233","246","1.24","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:29.26","12","0.0"
Running,2020-01-07 13:43:54,false,"Lee's Summit Running","3.11","339","00:25:24","157","176","3.5","162","177","8:10","5:53","118","108","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0:00","66.2","0:00","No","00:00.00","1","0.0"
Running,2020-01-04 09:08:43,false,"Lee's Summit Running","11.45","1,182","01:42:01","153","179","4.8","159","250","8:55","5:33","666","692","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0:00","57.2","0:00","No","00:29.27","12","0.0"
Running,2020-01-02 10:46:24,false,"Sevier County Running","1.00","99","00:09:36.8","129","154","2.0","156","217","9:36","3:54","72","59","1.07","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","00:00.00","1","0.0"
Trail Running,2020-01-02 09:24:52,false,"Sevier County Running","4.87","571","00:59:00","139","171","3.1","126","185","12:07","6:46","640","663","1.06","0.0","0.0","0.0","0.0","0.0","0:00","0:00","71.6","0:00","No","15:47.46","2","0.0"
Running,2020-01-01 09:21:21,false,"Sevier County Running","3.04","400","00:33:43","152","177","3.4","143","239","11:05","5:09","791","801","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0:00","66.2","0:00","No","00:00.00","1","0.0"
